ID,Животное,Тип,Место наблюдения,Сезон,Количество особей,Температура воздуха (°C),Тип питания,Антропогенный фактор,Интересный факт
22,Эпишура,планктон,Баргузинский залив,зима,1000.0,-18.1557983459,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
23,Чайка,птица,Малое Море,весна,4.0,-5.8382961904,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
24,Чайка,птица,Баргузинский залив,осень,11.0,-0.0479872301,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
25,Чайка,птица,Чивыркуйский залив,лето,28.0,19.0350810536,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
26,Омуль,рыба,Малое Море,лето,192.0,16.1743352048,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
27,Эпишура,планктон,Чивыркуйский залив,лето,7336.0,18.554328533,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
28,Большой баклан,птица,Селенгинский район,весна,55.0,-6.6761816077,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
29,Эпишура,планктон,Чивыркуйский залив,весна,3126.0,8.0174718507,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
30,Эпишура,планктон,Селенгинский район,весна,8724.0,2.0357432881,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
31,Чайка,птица,Селенгинский район,осень,1.0,-14.0472063378,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
32,Чайка,птица,Селенгинский район,осень,8.0,3.9935686586,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
33,Голомянка,рыба,Селенгинский район,зима,322.0,-10.7290456561,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
34,Голомянка,рыба,Ольхон,осень,333.0,-12.6249899857,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
35,Омуль,рыба,Ольхон,лето,24.0,15.8245613047,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
36,Голомянка,рыба,Баргузинский залив,осень,202.0,12.4643580861,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
37,Голомянка,рыба,Малое Море,осень,325.0,-14.70914495,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
38,Чайка,птица,Чивыркуйский залив,зима,1.0,-15.536306103,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
39,Чайка,птица,Ольхон,лето,29.0,14.7490229183,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
40,Голомянка,рыба,Малое Море,весна,290.0,-3.060213627,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
41,Чайка,птица,Баргузинский залив,зима,1.0,-15.5869526508,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
42,Омуль,рыба,Ольхон,осень,333.0,-13.4189371624,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
43,Омуль,рыба,Чивыркуйский залив,лето,114.0,17.5306304629,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
44,Чайка,птица,Селенгинский район,зима,1.0,-24.9328078462,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
45,Чайка,птица,Ольхон,зима,1.0,-20.3959638431,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
46,Эпишура,планктон,Малое Море,зима,1827.0,-17.4406204347,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
47,Омуль,рыба,Ольхон,осень,197.0,-3.689332483,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
48,Голомянка,рыба,Баргузинский залив,весна,276.0,-3.8504812959,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
49,Чайка,птица,Баргузинский залив,весна,9.0,6.6167029094,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
50,Чайка,птица,Чивыркуйский залив,осень,25.0,13.0449772282,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
51,Чайка,птица,Чивыркуйский залив,весна,11.0,7.4742536981,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
52,Чайка,птица,Малое Море,весна,5.0,0.448626261,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
53,Чайка,птица,Баргузинский залив,осень,25.0,11.5249252558,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
54,Чайка,птица,Малое Море,весна,9.0,8.4172313036,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
55,Омуль,рыба,Баргузинский залив,лето,166.0,14.0923839705,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
56,Чайка,птица,Баргузинский залив,лето,15.0,12.8344585951,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
57,Чайка,птица,Малое Море,лето,13.0,10.9826520581,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
58,Чайка,птица,Баргузинский залив,лето,17.0,14.7909192105,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
59,Чайка,птица,Чивыркуйский залив,осень,18.0,13.3889076132,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
60,Большой баклан,птица,Селенгинский район,весна,253.0,1.2181505614,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
61,Омуль,рыба,Баргузинский залив,зима,52.0,-14.9865684732,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
62,Чайка,птица,Ольхон,зима,1.0,-23.3067427226,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
63,Эпишура,планктон,Ольхон,осень,6113.0,-10.6944100757,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
64,Чайка,птица,Малое Море,осень,8.0,-1.0658021412,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
65,Эпишура,планктон,Ольхон,лето,8098.0,19.5126479898,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
66,Чайка,птица,Чивыркуйский залив,зима,1.0,-19.5882303761,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
67,Омуль,рыба,Селенгинский район,зима,158.0,-11.8377393802,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
68,Омуль,рыба,Малое Море,зима,35.0,-23.1956710986,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
69,Чайка,птица,Баргузинский залив,осень,16.0,3.510516208,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
70,Чайка,птица,Малое Море,лето,22.0,16.0061297691,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
71,Чайка,птица,Селенгинский район,осень,13.0,10.7962425021,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
72,Омуль,рыба,Баргузинский залив,лето,110.0,10.033167044,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
73,Эпишура,планктон,Селенгинский район,лето,4259.0,11.899316672,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
74,Чайка,птица,Селенгинский район,осень,5.0,-8.4093712371,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
75,Чайка,птица,Чивыркуйский залив,лето,26.0,19.4996608809,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
76,Эпишура,планктон,Селенгинский район,лето,10591.0,11.5369365627,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
77,Чайка,птица,Ольхон,лето,24.0,10.3696235022,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
78,Эпишура,планктон,Селенгинский район,зима,1333.0,-16.9830775789,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
79,Омуль,рыба,Ольхон,весна,73.0,0.5711692487,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
80,Чайка,птица,Селенгинский район,осень,21.0,10.321408961,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
81,Омуль,рыба,Ольхон,лето,112.0,19.4885965018,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
82,Чайка,птица,Баргузинский залив,лето,26.0,15.3854544214,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
83,Чайка,птица,Селенгинский район,весна,9.0,8.5998836484,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
84,Голомянка,рыба,Баргузинский залив,осень,230.0,6.754774539,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
85,Голомянка,рыба,Селенгинский район,весна,296.0,-4.7088174401,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
86,Чайка,птица,Селенгинский район,осень,18.0,12.8526213283,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
87,Эпишура,планктон,Чивыркуйский залив,лето,6578.0,16.6744317618,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
88,Нерпа,млекопитающее,Селенгинский район,лето,4.0,14.1409593274,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
89,Эпишура,планктон,Ольхон,зима,4637.0,-14.7963687322,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
90,Эпишура,планктон,Малое Море,зима,4335.0,-18.9803075838,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
91,Нерпа,млекопитающее,Ольхон,весна,6.0,-7.7163246402,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
92,Нерпа,млекопитающее,Селенгинский район,весна,2.0,4.3795749435,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
93,Омуль,рыба,Ольхон,зима,173.0,-12.6386858174,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
94,Нерпа,млекопитающее,Чивыркуйский залив,лето,5.0,17.2880619902,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
95,Эпишура,планктон,Чивыркуйский залив,лето,11643.0,12.2911466776,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
96,Эпишура,планктон,Малое Море,лето,14817.0,19.5663501348,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
97,Нерпа,млекопитающее,Селенгинский район,осень,6.0,-14.2423631493,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
98,Омуль,рыба,Малое Море,весна,150.0,-3.3462940525,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
99,Чайка,птица,Селенгинский район,лето,16.0,12.6009243453,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
100,Чайка,птица,Малое Море,зима,1.0,-24.2781065858,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
101,Чайка,птица,Баргузинский залив,зима,1.0,-18.9140546052,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
102,Чайка,птица,Ольхон,лето,27.0,16.2311484016,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
103,Омуль,рыба,Ольхон,весна,71.0,7.6510572697,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
104,Чайка,птица,Малое Море,осень,22.0,14.6906914857,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
105,Омуль,рыба,Селенгинский район,осень,90.0,9.2426875921,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
106,Голомянка,рыба,Ольхон,зима,370.0,-17.9697922193,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
107,Чайка,птица,Баргузинский залив,осень,10.0,6.711132779,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
108,Чайка,птица,Малое Море,осень,18.0,10.3087136577,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
109,Чайка,птица,Ольхон,зима,1.0,-18.0203920537,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
110,Чайка,птица,Чивыркуйский залив,зима,1.0,-13.2241834896,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
111,Чайка,птица,Баргузинский залив,осень,5.0,-0.5204274506,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
112,Эпишура,планктон,Чивыркуйский залив,зима,2341.0,-19.2025601368,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
113,Голомянка,рыба,Малое Море,весна,257.0,0.5218167557,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
114,Эпишура,планктон,Ольхон,лето,10808.0,16.7585473763,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
115,Большой баклан,птица,Ольхон,зима,41.0,-14.0967691552,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
116,Эпишура,планктон,Малое Море,осень,7124.0,-4.2979119332,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
117,Чайка,птица,Ольхон,весна,11.0,1.4264050311,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
118,Чайка,птица,Чивыркуйский залив,зима,1.0,-11.3519368888,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
119,Омуль,рыба,Ольхон,осень,53.0,14.2893870033,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
120,Чайка,птица,Селенгинский район,зима,1.0,-21.5912786322,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
121,Чайка,птица,Баргузинский залив,зима,1.0,-22.1075325143,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
122,Голомянка,рыба,Ольхон,осень,3990.0,5.3005690029,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
123,Омуль,рыба,Малое Море,лето,130.0,14.1468388582,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
124,Эпишура,планктон,Баргузинский залив,весна,8134.0,-9.5155532316,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
125,Омуль,рыба,Чивыркуйский залив,зима,180.0,-19.7970719403,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
126,Омуль,рыба,Селенгинский район,весна,21.0,6.1348948694,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
127,Чайка,птица,Селенгинский район,осень,18.0,8.9228079115,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
128,Нерпа,млекопитающее,Чивыркуйский залив,осень,5.0,-0.1594455355,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
129,Чайка,птица,Малое Море,лето,26.0,14.7257793489,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
130,Омуль,рыба,Чивыркуйский залив,весна,169.0,1.5901488487,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
131,Чайка,птица,Баргузинский залив,осень,1.0,-8.4180986831,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
132,Нерпа,млекопитающее,Ольхон,зима,1.0,-17.1093456266,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
133,Голомянка,рыба,Баргузинский залив,весна,303.0,-9.7790727989,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
134,Нерпа,млекопитающее,Чивыркуйский залив,весна,3.0,-0.4888089043,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
135,Омуль,рыба,Селенгинский район,осень,220.0,-4.9184686125,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
136,Чайка,птица,Селенгинский район,осень,20.0,5.2460881771,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
137,Голомянка,рыба,Ольхон,зима,328.0,-15.4246962377,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
138,Голомянка,рыба,Баргузинский залив,зима,353.0,-19.2874617973,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
139,Чайка,птица,Малое Море,осень,1.0,-14.7818105556,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
140,Омуль,рыба,Баргузинский залив,лето,174.0,12.5227362939,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
141,Омуль,рыба,Селенгинский район,лето,53.0,16.3334785019,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
142,Чайка,птица,Баргузинский залив,лето,13.0,10.7237334302,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
143,Эпишура,планктон,Чивыркуйский залив,зима,3111.0,-23.3853636725,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
144,Чайка,птица,Малое Море,лето,25.0,16.4703502457,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
145,Нерпа,млекопитающее,Селенгинский район,зима,1.0,-13.6634889858,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
146,Чайка,птица,Чивыркуйский залив,лето,19.0,13.2154970801,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
147,Омуль,рыба,Ольхон,зима,23.0,-17.6549040173,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
148,Чайка,птица,Селенгинский район,осень,14.0,13.3713409495,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
149,Эпишура,планктон,Ольхон,зима,753.0,-10.8168465674,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
150,Большой баклан,птица,Ольхон,весна,990.0,-3.8499445107,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
151,Чайка,птица,Чивыркуйский залив,осень,16.0,9.2996362505,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
152,Чайка,птица,Баргузинский залив,весна,6.0,1.8788810561,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
153,Омуль,рыба,Селенгинский район,зима,130.0,-10.3677325997,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
154,Большой баклан,птица,Селенгинский район,зима,60.0,-17.8357964543,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
155,Большой баклан,птица,Баргузинский залив,зима,60.0,-13.3793969798,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
156,Эпишура,планктон,Малое Море,лето,9914.0,17.6813712961,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
157,Чайка,птица,Селенгинский район,весна,1.0,-0.0513426473,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
158,Чайка,птица,Селенгинский район,весна,12.0,5.9126022859,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
159,Чайка,птица,Чивыркуйский залив,лето,19.0,12.6104033331,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
160,Голомянка,рыба,Ольхон,весна,291.0,-7.5549392742,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
161,Чайка,птица,Малое Море,зима,1.0,-18.6225438302,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
162,Омуль,рыба,Ольхон,осень,113.0,13.308919699,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
163,Нерпа,млекопитающее,Малое Море,осень,4.0,0.0223382461,хищник,нет влияния,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
164,Голомянка,рыба,Ольхон,зима,342.0,-15.4711129203,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
165,Большой баклан,птица,Ольхон,весна,196.0,2.4832491182,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
166,Большой баклан,птица,Ольхон,зима,73.0,-23.011406991,хищник,загрязнение,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
167,Чайка,птица,Баргузинский залив,зима,1.0,-19.1455467643,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
168,Нерпа,млекопитающее,Чивыркуйский залив,лето,3.0,17.0693897292,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
169,Омуль,рыба,Малое Море,лето,31.0,19.7199009858,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
170,Голомянка,рыба,Баргузинский залив,осень,288.0,-9.9594678511,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
171,Голомянка,рыба,Ольхон,весна,279.0,-1.7911621932,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
172,Байкальский осетр,рыба,Чивыркуйский залив,лето,1.0,10.950937998,бентофаг,рыболовство,"Занесен в Красную книгу, встречается крайне редко"
173,Чайка,птица,Чивыркуйский залив,весна,1.0,-5.152470807,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
174,Эпишура,планктон,Чивыркуйский залив,лето,8823.0,13.7675934333,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
175,Чайка,птица,Ольхон,зима,1.0,-16.8903512807,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
176,Чайка,птица,Ольхон,зима,1.0,-21.5414967664,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
177,Чайка,птица,Чивыркуйский залив,весна,6.0,-5.4487467764,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
178,Чайка,птица,Ольхон,весна,14.0,5.5565995828,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
179,Голомянка,рыба,Малое Море,осень,195.0,13.8792498884,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
180,Омуль,рыба,Селенгинский район,весна,101.0,-3.527740645,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
181,Чайка,птица,Ольхон,весна,15.0,,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
182,Голомянка,рыба,Малое Море,зима,362.0,-21.1287930796,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
183,Омуль,рыба,Малое Море,весна,122.0,8.5590450993,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
184,Чайка,птица,Чивыркуйский залив,зима,1.0,-14.9064645975,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
185,Омуль,рыба,Баргузинский залив,лето,124.0,18.0267685464,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
186,Чайка,птица,Чивыркуйский залив,осень,1.0,-13.519378704,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
187,Чайка,птица,Селенгинский район,зима,1.0,-16.0224104764,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
188,Нерпа,млекопитающее,Селенгинский район,лето,1.0,15.2761233136,хищник,рыболовство,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
189,Голомянка,рыба,Ольхон,осень,303.0,-6.2100927927,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
190,Большой баклан,птица,Чивыркуйский залив,весна,756.0,-4.7514002989,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
191,Чайка,птица,Ольхон,лето,19.0,15.8002480232,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
192,Чайка,птица,Малое Море,осень,13.0,6.1945690502,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
193,Омуль,рыба,Ольхон,зима,121.0,-24.5024086445,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
194,Большой баклан,птица,Баргузинский залив,осень,985.0,2.0220474577,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
195,Голомянка,рыба,Чивыркуйский залив,зима,371.0,-22.4431070658,хищник,туристы,Уникальная живородящая рыба с прозрачным телом
196,Нерпа,млекопитающее,Селенгинский район,весна,1.0,-7.1927453723,хищник,туристы,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
197,Омуль,рыба,Ольхон,лето,97.0,16.2311948809,всеядный,рыболовство,"Символ Байкала, нерестится в реках осенью"
198,Большой баклан,птица,Малое Море,весна,350.0,-3.7825976557,хищник,нет влияния,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
199,Омуль,рыба,Баргузинский залив,осень,308.0,-1.773593006,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
200,Чайка,птица,Селенгинский район,зима,1.0,-19.6000178584,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
201,Большой баклан,птица,Малое Море,осень,215.0,4.4500896046,хищник,рыболовство,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
202,Омуль,рыба,Ольхон,лето,72.0,14.7011976607,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
203,Голомянка,рыба,Ольхон,осень,182.0,13.9037598611,хищник,нет влияния,Уникальная живородящая рыба с прозрачным телом
204,Эпишура,планктон,Малое Море,осень,6696.0,-4.4285172268,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
205,Омуль,рыба,Чивыркуйский залив,осень,183.0,7.2085302079,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
206,Эпишура,планктон,Ольхон,весна,2983.0,-4.8541486483,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
207,Чайка,птица,Баргузинский залив,весна,10.0,0.1750618525,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
208,Омуль,рыба,Малое Море,весна,32.0,1.051395038,всеядный,нет влияния,"Символ Байкала, нерестится в реках осенью"
209,Эпишура,планктон,Чивыркуйский залив,лето,7725.0,13.2910928106,фильтратор,нет влияния,"Микроскопический рачок, фильтрует воду озера"
210,Байкальский осетр,рыба,Чивыркуйский залив,лето,2.0,14.7178052891,бентофаг,рыболовство,"Занесен в Красную книгу, встречается крайне редко"
